row,part_number,column,value,method,confidence,rule_id,evidence_source,evidence_text,detail
1,S4724,Mfg_Part_Num,S4724,input,0.99,,,,Preserved verbatim from the source file.
1,S4724,Part_Desc,S4724 4W Incan Cand 27K 4pk,input,0.99,,,,Preserved verbatim from the source file.
1,S4724,Part_Manuf,Satco Prod Inc (5573),input,0.99,,,,Preserved verbatim from the source file.
1,S4724,SKU - MY_PART_NUMBER,X11966,input,0.99,,,,Preserved verbatim from the source file.
1,S4724,MANUFACTURER_PART_NUMBER,S4724,input,0.99,IDN-MPN-01,input:Mfg_Part_Num,S4724,Supplied part number.
1,S4724,BRAND_NAME,Satco®,registry,0.9,IDN-BRD-01,input:Part_Manuf,Satco Prod Inc (5573),Supplier string normalised to the approved manufacturer.
1,S4724,MANUFACTURER_NAME,"Satco Products, Inc.",registry,0.882,IDN-MFR-01,input:Part_Manuf,Satco Prod Inc (5573),Supplier string normalised to the approved manufacturer.
1,S4724,Classpath,Electrical>Lighting & Bulbs>Light Bulbs,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
1,S4724,Dept,Electrical,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
1,S4724,Class,Lighting,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
1,S4724,Fine,Light Bulbs,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
1,S4724,INVOICE_DESC,BULB 4W 2700K 4 CAND,compose,0.9,,,,Budget solver fitted 5 facts into 20/40 characters.
1,S4724,MOBILE_DESC,"Satco Products, Inc. Satco, Light Bulb, S4724, 4 W, 2700 K, Candelabra Base",compose,0.88,,,,Identity line sized into the 60-80 character window.
1,S4724,SHORT_DESC,"Satco® S4724 Light Bulb, 4 W, 2700 K, Candelabra Base, 4",compose,0.88,,,,Title formula: brand + series + model + item type + differentiators.
1,S4724,RETAIL_DESC,"Light Bulb, 4 W, 2700 K, Candelabra Base, 4",compose,0.85,,,,Shelf line: series + item type + differentiators.
1,S4724,LONG_DESC1,"Satco® Light Bulb, 4 W, 2700 K, Candelabra Base, 4",compose,0.85,,,,Every captured attribute rendered in specification order.
1,S4724,Product Name,Light Bulb,inferred,0.78,ITM-INF-LAMP,rule:ITM-INF-LAMP,"wattage, color_temperature","Item type inferred from co-occurring attributes (wattage, color_temperature); the description never names the item."
1,S4724,ATTRIBUTE_LABEL 1,Wattage,rule,0.92,ELE-W-01,input:Part_Desc,4W,Wattage token.
1,S4724,ATTRIBUTE_VALUE 1,4,rule,0.92,ELE-W-01,input:Part_Desc,4W,Wattage token.
1,S4724,ATTRIBUTE_UOM 1,W,rule,0.92,ELE-W-01,input:Part_Desc,4W,Wattage token.
1,S4724,ATTRIBUTE_LABEL 2,Color Temperature,rule,0.92,LMP-K-01,input:Part_Desc,27K,Lamp shorthand: two-digit K value means hundreds (50k = 5000 K).
1,S4724,ATTRIBUTE_VALUE 2,2700,rule,0.92,LMP-K-01,input:Part_Desc,27K,Lamp shorthand: two-digit K value means hundreds (50k = 5000 K).
1,S4724,ATTRIBUTE_UOM 2,K,rule,0.92,LMP-K-01,input:Part_Desc,27K,Lamp shorthand: two-digit K value means hundreds (50k = 5000 K).
1,S4724,ATTRIBUTE_LABEL 3,Base Type,rule,0.92,LMP-BAS-01,input:Part_Desc,Cand,Lamp base designation.
1,S4724,ATTRIBUTE_VALUE 3,Candelabra Base,rule,0.92,LMP-BAS-01,input:Part_Desc,Cand,Lamp base designation.
1,S4724,ATTRIBUTE_LABEL 4,Pack Quantity,rule,0.92,PKG-PK-01,input:Part_Desc,4pk,Multi-pack count.
1,S4724,ATTRIBUTE_VALUE 4,4,rule,0.92,PKG-PK-01,input:Part_Desc,4pk,Multi-pack count.
1,S4724,UNSPSC,39101600,inferred,0.72,TAX-001,registry:taxonomy,39101600,UNSPSC family for classpath Electrical>Lighting & Bulbs>Light Bulbs.
2,DCG420B,Mfg_Part_Num,DCG420B,input,0.99,,,,Preserved verbatim from the source file.
2,DCG420B,Part_Desc,DCG420B Dewalt 20V Die Grinder (Bare),input,0.99,,,,Preserved verbatim from the source file.
